"col_type","color","type","typicality_cat","ref_cat","anon_worker_id"
"green_carrot","green","carrot","atyp","color+type","436979026721126"
"red_corn","red","corn","atyp","color+type","436979026721126"
"red_broccoli","red","broccoli","atyp","color+type","376820064567768"
"yellow_strawberry","yellow","strawberry","atyp","color+type","144755363139591"
"white_tomato","white","tomato","atyp","color+type","144755363139591"
"green_carrot","green","carrot","atyp","color+type","621792455516358"
"green_carrot","green","carrot","atyp","color+type","362635496236038"
"white_tomato","white","tomato","atyp","color+type","362635496236038"
"yellow_strawberry","yellow","strawberry","atyp","color+type","362635496236038"
"red_corn","red","corn","atyp","color+type","362635496236038"
"red_broccoli","red","broccoli","atyp","color+type","362635496236038"
"green_carrot","green","carrot","atyp","color+type","834444623578249"
"white_pumpkin","white","pumpkin","atyp","color+type","834444623578249"
"yellow_strawberry","yellow","strawberry","atyp","color+type","834444623578249"
"green_carrot","green","carrot","atyp","color+type","490495854604812"
"yellow_strawberry","yellow","strawberry","atyp","color+type","490495854604812"
"yellow_corn","yellow","corn","typ","type","48432314712788"
"yellow_banana","yellow","banana","typ","type","48432314712788"
"green_swan","green","swan","atyp","type","48432314712788"
"orange_carrot","orange","carrot","typ","type","48432314712788"
"green_broccoli","green","broccoli","typ","type","48432314712788"
"green_lettuce","green","lettuce","typ","type","48432314712788"
"white_snowman","white","snowman","typ","type","48432314712788"
"yellow_strawberry","yellow","strawberry","atyp","type","48432314712788"
"red_tomato","red","tomato","typ","type","48432314712788"
"white_egg","white","egg","typ","type","48432314712788"
"green_carrot","green","carrot","atyp","type","943649127350302"
"red_strawberry","red","strawberry","typ","type","943649127350302"
"white_pumpkin","white","pumpkin","atyp","type","943649127350302"
"yellow_egg","yellow","egg","atyp","type","943649127350302"
"orange_banana","orange","banana","atyp","type","943649127350302"
"white_snowman","white","snowman","typ","type","943649127350302"
"white_swan","white","swan","typ","type","943649127350302"
"red_tomato","red","tomato","typ","type","943649127350302"
"green_broccoli","green","broccoli","typ","type","943649127350302"
"red_corn","red","corn","atyp","type","943649127350302"
"green_lettuce","green","lettuce","typ","type","943649127350302"
"yellow_banana","yellow","banana","typ","type","941601678774803"
"orange_carrot","orange","carrot","typ","type","941601678774803"
"white_swan","white","swan","typ","type","941601678774803"
"red_broccoli","red","broccoli","atyp","type","941601678774803"
"white_pumpkin","white","pumpkin","atyp","type","941601678774803"
"red_strawberry","red","strawberry","typ","type","941601678774803"
"red_corn","red","corn","atyp","type","941601678774803"
"green_lettuce","green","lettuce","typ","type","941601678774803"
"yellow_egg","yellow","egg","atyp","type","941601678774803"
"red_tomato","red","tomato","typ","type","941601678774803"
"white_snowman","white","snowman","typ","type","941601678774803"
"orange_banana","orange","banana","atyp","type","896734555152636"
"green_broccoli","green","broccoli","typ","type","896734555152636"
"white_snowman","white","snowman","typ","type","896734555152636"
"red_tomato","red","tomato","typ","type","896734555152636"
"green_swan","green","swan","atyp","type","896734555152636"
"orange_carrot","orange","carrot","typ","type","896734555152636"
"white_egg","white","egg","typ","type","896734555152636"
"green_broccoli","green","broccoli","typ","type","135339552064881"
"red_corn","red","corn","atyp","type","135339552064881"
"white_tomato","white","tomato","atyp","type","135339552064881"
"yellow_banana","yellow","banana","typ","type","135339552064881"
"white_egg","white","egg","typ","type","135339552064881"
"white_pumpkin","white","pumpkin","atyp","type","135339552064881"
"green_lettuce","green","lettuce","typ","type","135339552064881"
"red_strawberry","red","strawberry","typ","type","135339552064881"
"orange_carrot","orange","carrot","typ","type","135339552064881"
"white_swan","white","swan","typ","type","135339552064881"
"yellow_snowman","yellow","snowman","atyp","type","135339552064881"
"white_snowman","white","snowman","typ","type","436979026721126"
"green_broccoli","green","broccoli","typ","type","436979026721126"
"orange_pumpkin","orange","pumpkin","typ","type","436979026721126"
"red_strawberry","red","strawberry","typ","type","436979026721126"
"red_tomato","red","tomato","typ","type","436979026721126"
"yellow_banana","yellow","banana","typ","type","436979026721126"
"white_egg","white","egg","typ","type","436979026721126"
"red_tomato","red","tomato","typ","type","889418465381468"
"yellow_snowman","yellow","snowman","atyp","type","889418465381468"
"white_pumpkin","white","pumpkin","atyp","type","889418465381468"
"yellow_corn","yellow","corn","typ","type","889418465381468"
"green_broccoli","green","broccoli","typ","type","889418465381468"
"yellow_strawberry","yellow","strawberry","atyp","type","889418465381468"
"green_swan","green","swan","atyp","type","889418465381468"
"orange_carrot","orange","carrot","typ","type","889418465381468"
"yellow_banana","yellow","banana","typ","type","889418465381468"
"yellow_egg","yellow","egg","atyp","type","889418465381468"
"orange_banana","orange","banana","atyp","type","444824962151395"
"white_swan","white","swan","typ","type","444824962151395"
"yellow_snowman","yellow","snowman","atyp","type","444824962151395"
"yellow_corn","yellow","corn","typ","type","444824962151395"
"green_lettuce","green","lettuce","typ","type","444824962151395"
"white_tomato","white","tomato","atyp","type","444824962151395"
"green_broccoli","green","broccoli","typ","type","444824962151395"
"orange_pumpkin","orange","pumpkin","typ","type","444824962151395"
"orange_carrot","orange","carrot","typ","type","444824962151395"
"white_egg","white","egg","typ","type","444824962151395"
"yellow_strawberry","yellow","strawberry","atyp","type","444824962151395"
"red_tomato","red","tomato","typ","type","922460878577885"
"yellow_snowman","yellow","snowman","atyp","type","922460878577885"
"red_corn","red","corn","atyp","type","922460878577885"
"green_broccoli","green","broccoli","typ","type","922460878577885"
"green_lettuce","green","lettuce","typ","type","922460878577885"
"yellow_egg","yellow","egg","atyp","type","922460878577885"
"yellow_banana","yellow","banana","typ","type","922460878577885"
"orange_carrot","orange","carrot","typ","type","922460878577885"
"red_strawberry","red","strawberry","typ","type","922460878577885"
"orange_pumpkin","orange","pumpkin","typ","type","922460878577885"
"yellow_corn","yellow","corn","typ","type","227382334165375"
"yellow_banana","yellow","banana","typ","type","227382334165375"
"green_carrot","green","carrot","atyp","type","227382334165375"
"green_broccoli","green","broccoli","typ","type","227382334165375"
"yellow_strawberry","yellow","strawberry","atyp","type","227382334165375"
"white_tomato","white","tomato","atyp","type","227382334165375"
"yellow_snowman","yellow","snowman","atyp","type","227382334165375"
"yellow_strawberry","yellow","strawberry","atyp","type","929513076215108"
"white_snowman","white","snowman","typ","type","929513076215108"
"orange_carrot","orange","carrot","typ","type","929513076215108"
"orange_pumpkin","orange","pumpkin","typ","type","929513076215108"
"red_broccoli","red","broccoli","atyp","type","929513076215108"
"red_tomato","red","tomato","typ","type","929513076215108"
"yellow_banana","yellow","banana","typ","type","929513076215108"
"green_swan","green","swan","atyp","type","929513076215108"
"white_egg","white","egg","typ","type","929513076215108"
"yellow_corn","yellow","corn","typ","type","929513076215108"
"white_egg","white","egg","typ","type","376820064567768"
"yellow_banana","yellow","banana","typ","type","376820064567768"
"red_strawberry","red","strawberry","typ","type","376820064567768"
"white_pumpkin","white","pumpkin","atyp","type","376820064567768"
"yellow_snowman","yellow","snowman","atyp","type","376820064567768"
"orange_carrot","orange","carrot","typ","type","376820064567768"
"orange_lettuce","orange","lettuce","atyp","type","376820064567768"
"red_tomato","red","tomato","typ","type","376820064567768"
"orange_pumpkin","orange","pumpkin","typ","type","10227718686282"
"white_swan","white","swan","typ","type","10227718686282"
"red_corn","red","corn","atyp","type","10227718686282"
"white_snowman","white","snowman","typ","type","10227718686282"
"yellow_egg","yellow","egg","atyp","type","10227718686282"
"yellow_banana","yellow","banana","typ","type","10227718686282"
"white_tomato","white","tomato","atyp","type","10227718686282"
"orange_carrot","orange","carrot","typ","type","10227718686282"
"green_broccoli","green","broccoli","typ","type","10227718686282"
"yellow_strawberry","yellow","strawberry","atyp","type","10227718686282"
"yellow_snowman","yellow","snowman","atyp","type","858682739763501"
"yellow_banana","yellow","banana","typ","type","858682739763501"
"white_egg","white","egg","typ","type","858682739763501"
"green_broccoli","green","broccoli","typ","type","858682739763501"
"red_strawberry","red","strawberry","typ","type","858682739763501"
"green_lettuce","green","lettuce","typ","type","858682739763501"
"green_carrot","green","carrot","atyp","type","858682739763501"
"yellow_corn","yellow","corn","typ","type","858682739763501"
"orange_carrot","orange","carrot","typ","type","144755363139591"
"yellow_snowman","yellow","snowman","atyp","type","144755363139591"
"red_broccoli","red","broccoli","atyp","type","144755363139591"
"yellow_banana","yellow","banana","typ","type","144755363139591"
"orange_pumpkin","orange","pumpkin","typ","type","144755363139591"
"yellow_corn","yellow","corn","typ","type","144755363139591"
"yellow_egg","yellow","egg","atyp","type","144755363139591"
"orange_carrot","orange","carrot","typ","type","980628246457904"
"red_broccoli","red","broccoli","atyp","type","980628246457904"
"white_tomato","white","tomato","atyp","type","980628246457904"
"yellow_egg","yellow","egg","atyp","type","980628246457904"
"red_corn","red","corn","atyp","type","980628246457904"
"white_pumpkin","white","pumpkin","atyp","type","980628246457904"
"white_snowman","white","snowman","typ","type","980628246457904"
"yellow_banana","yellow","banana","typ","type","980628246457904"
"green_lettuce","green","lettuce","typ","type","980628246457904"
"yellow_strawberry","yellow","strawberry","atyp","type","980628246457904"
"red_corn","red","corn","atyp","type","721669791166006"
"green_broccoli","green","broccoli","typ","type","721669791166006"
"orange_carrot","orange","carrot","typ","type","721669791166006"
"white_snowman","white","snowman","typ","type","721669791166006"
"white_swan","white","swan","typ","type","721669791166006"
"white_tomato","white","tomato","atyp","type","721669791166006"
"orange_pumpkin","orange","pumpkin","typ","type","721669791166006"
"white_egg","white","egg","typ","type","721669791166006"
"yellow_banana","yellow","banana","typ","type","721669791166006"
"green_lettuce","green","lettuce","typ","type","721669791166006"
"yellow_strawberry","yellow","strawberry","atyp","type","721669791166006"
"yellow_banana","yellow","banana","typ","type","614825603610444"
"green_carrot","green","carrot","atyp","type","614825603610444"
"red_tomato","red","tomato","typ","type","614825603610444"
"orange_pumpkin","orange","pumpkin","typ","type","614825603610444"
"red_corn","red","corn","atyp","type","614825603610444"
"yellow_snowman","yellow","snowman","atyp","type","614825603610444"
"green_broccoli","green","broccoli","typ","type","614825603610444"
"yellow_egg","yellow","egg","atyp","type","614825603610444"
"yellow_strawberry","yellow","strawberry","atyp","type","614825603610444"
"orange_carrot","orange","carrot","typ","type","198159540716180"
"yellow_egg","yellow","egg","atyp","type","198159540716180"
"yellow_strawberry","yellow","strawberry","atyp","type","198159540716180"
"white_tomato","white","tomato","atyp","type","198159540716180"
"orange_banana","orange","banana","atyp","type","198159540716180"
"white_snowman","white","snowman","typ","type","198159540716180"
"orange_lettuce","orange","lettuce","atyp","type","198159540716180"
"white_swan","white","swan","typ","type","198159540716180"
"red_corn","red","corn","atyp","type","198159540716180"
"white_pumpkin","white","pumpkin","atyp","type","198159540716180"
"green_swan","green","swan","atyp","type","222507984378961"
"yellow_banana","yellow","banana","typ","type","222507984378961"
"white_pumpkin","white","pumpkin","atyp","type","222507984378961"
"yellow_corn","yellow","corn","typ","type","222507984378961"
"orange_carrot","orange","carrot","typ","type","222507984378961"
"red_strawberry","red","strawberry","typ","type","222507984378961"
"green_broccoli","green","broccoli","typ","type","222507984378961"
"red_tomato","red","tomato","typ","type","222507984378961"
"yellow_snowman","yellow","snowman","atyp","type","222507984378961"
"white_egg","white","egg","typ","type","222507984378961"
"red_broccoli","red","broccoli","atyp","type","274189242486706"
"red_strawberry","red","strawberry","typ","type","274189242486706"
"yellow_banana","yellow","banana","typ","type","274189242486706"
"red_tomato","red","tomato","typ","type","274189242486706"
"green_lettuce","green","lettuce","typ","type","274189242486706"
"white_snowman","white","snowman","typ","type","274189242486706"
"yellow_corn","yellow","corn","typ","type","274189242486706"
"orange_carrot","orange","carrot","typ","type","274189242486706"
"white_pumpkin","white","pumpkin","atyp","type","274189242486706"
"white_swan","white","swan","typ","type","274189242486706"
"white_egg","white","egg","typ","type","274189242486706"
"yellow_strawberry","yellow","strawberry","atyp","type","621792455516358"
"yellow_egg","yellow","egg","atyp","type","621792455516358"
"yellow_banana","yellow","banana","typ","type","621792455516358"
"red_corn","red","corn","atyp","type","621792455516358"
"white_pumpkin","white","pumpkin","atyp","type","411881194934881"
"orange_lettuce","orange","lettuce","atyp","type","411881194934881"
"orange_banana","orange","banana","atyp","type","411881194934881"
"green_carrot","green","carrot","atyp","type","411881194934881"
"white_tomato","white","tomato","atyp","type","411881194934881"
"green_broccoli","green","broccoli","typ","type","411881194934881"
"yellow_corn","yellow","corn","typ","type","411881194934881"
"white_snowman","white","snowman","typ","type","411881194934881"
"white_swan","white","swan","typ","type","411881194934881"
"red_strawberry","red","strawberry","typ","type","411881194934881"
"white_egg","white","egg","typ","type","411881194934881"
"white_swan","white","swan","typ","type","362635496236038"
"green_lettuce","green","lettuce","typ","type","362635496236038"
"orange_pumpkin","orange","pumpkin","typ","type","362635496236038"
"yellow_banana","yellow","banana","typ","type","362635496236038"
"white_egg","white","egg","typ","type","362635496236038"
"white_snowman","white","snowman","typ","type","362635496236038"
"yellow_snowman","yellow","snowman","atyp","type","902781366290701"
"green_swan","green","swan","atyp","type","902781366290701"
"red_tomato","red","tomato","typ","type","902781366290701"
"orange_carrot","orange","carrot","typ","type","902781366290701"
"orange_banana","orange","banana","atyp","type","902781366290701"
"yellow_egg","yellow","egg","atyp","type","902781366290701"
"red_broccoli","red","broccoli","atyp","type","902781366290701"
"white_pumpkin","white","pumpkin","atyp","type","902781366290701"
"red_strawberry","red","strawberry","typ","type","902781366290701"
"green_lettuce","green","lettuce","typ","type","902781366290701"
"yellow_corn","yellow","corn","typ","type","902781366290701"
"yellow_egg","yellow","egg","atyp","type","372060040969729"
"yellow_banana","yellow","banana","typ","type","372060040969729"
"red_corn","red","corn","atyp","type","372060040969729"
"green_broccoli","green","broccoli","typ","type","372060040969729"
"white_snowman","white","snowman","typ","type","372060040969729"
"orange_carrot","orange","carrot","typ","type","372060040969729"
"yellow_strawberry","yellow","strawberry","atyp","type","372060040969729"
"white_pumpkin","white","pumpkin","atyp","type","372060040969729"
"orange_banana","orange","banana","atyp","type","227581912188345"
"orange_pumpkin","orange","pumpkin","typ","type","227581912188345"
"yellow_egg","yellow","egg","atyp","type","227581912188345"
"orange_lettuce","orange","lettuce","atyp","type","227581912188345"
"green_swan","green","swan","atyp","type","227581912188345"
"green_broccoli","green","broccoli","typ","type","227581912188345"
"red_tomato","red","tomato","typ","type","227581912188345"
"white_snowman","white","snowman","typ","type","227581912188345"
"yellow_corn","yellow","corn","typ","type","227581912188345"
"red_strawberry","red","strawberry","typ","type","227581912188345"
"green_carrot","green","carrot","atyp","type","227581912188345"
"yellow_snowman","yellow","snowman","atyp","type","233106097302846"
"green_lettuce","green","lettuce","typ","type","233106097302846"
"red_strawberry","red","strawberry","typ","type","233106097302846"
"red_tomato","red","tomato","typ","type","233106097302846"
"orange_carrot","orange","carrot","typ","type","233106097302846"
"white_pumpkin","white","pumpkin","atyp","type","233106097302846"
"orange_banana","orange","banana","atyp","type","233106097302846"
"green_swan","green","swan","atyp","type","233106097302846"
"red_corn","red","corn","atyp","type","233106097302846"
"white_egg","white","egg","typ","type","233106097302846"
"red_broccoli","red","broccoli","atyp","type","233106097302846"
"yellow_banana","yellow","banana","typ","type","112427083610561"
"red_tomato","red","tomato","typ","type","112427083610561"
"yellow_corn","yellow","corn","typ","type","112427083610561"
"white_swan","white","swan","typ","type","112427083610561"
"white_egg","white","egg","typ","type","112427083610561"
"yellow_snowman","yellow","snowman","atyp","type","112427083610561"
"green_broccoli","green","broccoli","typ","type","112427083610561"
"yellow_strawberry","yellow","strawberry","atyp","type","112427083610561"
"orange_carrot","orange","carrot","typ","type","112427083610561"
"white_pumpkin","white","pumpkin","atyp","type","112427083610561"
"red_corn","red","corn","atyp","type","257422642872716"
"white_pumpkin","white","pumpkin","atyp","type","257422642872716"
"white_snowman","white","snowman","typ","type","257422642872716"
"yellow_banana","yellow","banana","typ","type","257422642872716"
"red_strawberry","red","strawberry","typ","type","257422642872716"
"red_broccoli","red","broccoli","atyp","type","257422642872716"
"white_egg","white","egg","typ","type","257422642872716"
"white_tomato","white","tomato","atyp","type","257422642872716"
"green_lettuce","green","lettuce","typ","type","481239336121910"
"white_snowman","white","snowman","typ","type","481239336121910"
"white_pumpkin","white","pumpkin","atyp","type","481239336121910"
"white_swan","white","swan","typ","type","481239336121910"
"white_tomato","white","tomato","atyp","type","481239336121910"
"white_egg","white","egg","typ","type","481239336121910"
"yellow_banana","yellow","banana","typ","type","481239336121910"
"orange_carrot","orange","carrot","typ","type","481239336121910"
"yellow_corn","yellow","corn","typ","type","481239336121910"
"red_strawberry","red","strawberry","typ","type","481239336121910"
"red_corn","red","corn","atyp","type","937580192874386"
"orange_banana","orange","banana","atyp","type","937580192874386"
"orange_pumpkin","orange","pumpkin","typ","type","937580192874386"
"green_carrot","green","carrot","atyp","type","937580192874386"
"yellow_snowman","yellow","snowman","atyp","type","937580192874386"
"red_tomato","red","tomato","typ","type","937580192874386"
"green_broccoli","green","broccoli","typ","type","937580192874386"
"white_egg","white","egg","typ","type","937580192874386"
"white_swan","white","swan","typ","type","937580192874386"
"orange_lettuce","orange","lettuce","atyp","type","937580192874386"
"yellow_strawberry","yellow","strawberry","atyp","type","937580192874386"
"red_corn","red","corn","atyp","type","834444623578249"
"white_snowman","white","snowman","typ","type","834444623578249"
"yellow_egg","yellow","egg","atyp","type","834444623578249"
"green_broccoli","green","broccoli","typ","type","834444623578249"
"yellow_banana","yellow","banana","typ","type","834444623578249"
"red_tomato","red","tomato","typ","type","834444623578249"
"green_lettuce","green","lettuce","typ","type","834444623578249"
"white_swan","white","swan","typ","type","834444623578249"
"orange_banana","orange","banana","atyp","type","389416555676672"
"yellow_strawberry","yellow","strawberry","atyp","type","389416555676672"
"white_egg","white","egg","typ","type","389416555676672"
"green_broccoli","green","broccoli","typ","type","389416555676672"
"yellow_corn","yellow","corn","typ","type","389416555676672"
"yellow_snowman","yellow","snowman","atyp","type","389416555676672"
"white_pumpkin","white","pumpkin","atyp","type","389416555676672"
"green_carrot","green","carrot","atyp","type","389416555676672"
"white_tomato","white","tomato","atyp","type","389416555676672"
"green_swan","green","swan","atyp","type","389416555676672"
"yellow_snowman","yellow","snowman","atyp","type","388224610845133"
"orange_carrot","orange","carrot","typ","type","388224610845133"
"yellow_banana","yellow","banana","typ","type","388224610845133"
"white_pumpkin","white","pumpkin","atyp","type","388224610845133"
"red_tomato","red","tomato","typ","type","388224610845133"
"white_egg","white","egg","typ","type","388224610845133"
"yellow_corn","yellow","corn","typ","type","388224610845133"
"orange_banana","orange","banana","atyp","type","167818042262846"
"red_broccoli","red","broccoli","atyp","type","167818042262846"
"yellow_egg","yellow","egg","atyp","type","167818042262846"
"orange_carrot","orange","carrot","typ","type","167818042262846"
"orange_lettuce","orange","lettuce","atyp","type","167818042262846"
"orange_pumpkin","orange","pumpkin","typ","type","167818042262846"
"white_snowman","white","snowman","typ","type","167818042262846"
"white_tomato","white","tomato","atyp","type","167818042262846"
"green_swan","green","swan","atyp","type","167818042262846"
"yellow_strawberry","yellow","strawberry","atyp","type","167818042262846"
"red_corn","red","corn","atyp","type","167818042262846"
"green_broccoli","green","broccoli","typ","type","556315437936088"
"yellow_snowman","yellow","snowman","atyp","type","556315437936088"
"green_lettuce","green","lettuce","typ","type","556315437936088"
"white_swan","white","swan","typ","type","556315437936088"
"red_tomato","red","tomato","typ","type","556315437936088"
"red_strawberry","red","strawberry","typ","type","556315437936088"
"orange_banana","orange","banana","atyp","type","556315437936088"
"white_egg","white","egg","typ","type","556315437936088"
"orange_pumpkin","orange","pumpkin","typ","type","556315437936088"
"red_corn","red","corn","atyp","type","556315437936088"
"orange_banana","orange","banana","atyp","type","557045254487168"
"green_broccoli","green","broccoli","typ","type","557045254487168"
"yellow_corn","yellow","corn","typ","type","557045254487168"
"red_strawberry","red","strawberry","typ","type","557045254487168"
"red_tomato","red","tomato","typ","type","557045254487168"
"orange_carrot","orange","carrot","typ","type","557045254487168"
"white_snowman","white","snowman","typ","type","557045254487168"
"orange_pumpkin","orange","pumpkin","typ","type","557045254487168"
"yellow_egg","yellow","egg","atyp","type","557045254487168"
"white_swan","white","swan","typ","type","557045254487168"
"green_broccoli","green","broccoli","typ","type","445710352892637"
"white_swan","white","swan","typ","type","445710352892637"
"white_pumpkin","white","pumpkin","atyp","type","445710352892637"
"yellow_strawberry","yellow","strawberry","atyp","type","445710352892637"
"yellow_snowman","yellow","snowman","atyp","type","445710352892637"
"orange_banana","orange","banana","atyp","type","445710352892637"
"red_corn","red","corn","atyp","type","445710352892637"
"green_lettuce","green","lettuce","typ","type","445710352892637"
"orange_carrot","orange","carrot","typ","type","445710352892637"
"green_swan","green","swan","atyp","type","490495854604812"
"white_egg","white","egg","typ","type","490495854604812"
"yellow_snowman","yellow","snowman","atyp","type","490495854604812"
"orange_lettuce","orange","lettuce","atyp","type","490495854604812"
"orange_banana","orange","banana","atyp","type","490495854604812"
"orange_pumpkin","orange","pumpkin","typ","type","490495854604812"
"green_broccoli","green","broccoli","typ","type","490495854604812"
"orange_pumpkin","orange","pumpkin","typ","type","813985193149631"
"red_corn","red","corn","atyp","type","813985193149631"
"white_snowman","white","snowman","typ","type","813985193149631"
"orange_banana","orange","banana","atyp","type","813985193149631"
"red_broccoli","red","broccoli","atyp","type","813985193149631"
"yellow_egg","yellow","egg","atyp","type","813985193149631"
"yellow_strawberry","yellow","strawberry","atyp","type","813985193149631"
"orange_carrot","orange","carrot","typ","type","813985193149631"
"white_tomato","white","tomato","atyp","type","813985193149631"
"white_tomato","white","tomato","atyp","type","982355639793042"
"yellow_corn","yellow","corn","typ","type","982355639793042"
"orange_pumpkin","orange","pumpkin","typ","type","982355639793042"
"green_lettuce","green","lettuce","typ","type","982355639793042"
"white_swan","white","swan","typ","type","982355639793042"
"green_broccoli","green","broccoli","typ","type","982355639793042"
"white_snowman","white","snowman","typ","type","982355639793042"
"orange_banana","orange","banana","atyp","type","982355639793042"
"green_carrot","green","carrot","atyp","type","982355639793042"
"yellow_egg","yellow","egg","atyp","type","982355639793042"
"yellow_strawberry","yellow","strawberry","atyp","type","982355639793042"
"green_broccoli","green","broccoli","typ","type","599056330758851"
"yellow_banana","yellow","banana","typ","type","599056330758851"
"red_tomato","red","tomato","typ","type","599056330758851"
"red_strawberry","red","strawberry","typ","type","599056330758851"
"white_swan","white","swan","typ","type","599056330758851"
"white_egg","white","egg","typ","type","599056330758851"
"white_snowman","white","snowman","typ","type","599056330758851"
"orange_pumpkin","orange","pumpkin","typ","type","599056330758851"
"red_corn","red","corn","atyp","type","599056330758851"
"orange_carrot","orange","carrot","typ","type","599056330758851"
"yellow_corn","yellow","corn","typ","type","556529797490812"
"green_swan","green","swan","atyp","type","556529797490812"
"orange_carrot","orange","carrot","typ","type","556529797490812"
"white_pumpkin","white","pumpkin","atyp","type","556529797490812"
"orange_banana","orange","banana","atyp","type","556529797490812"
"green_broccoli","green","broccoli","typ","type","556529797490812"
"white_snowman","white","snowman","typ","type","556529797490812"
"red_tomato","red","tomato","typ","type","556529797490812"
"red_strawberry","red","strawberry","typ","type","556529797490812"
"white_egg","white","egg","typ","type","556529797490812"
"green_lettuce","green","lettuce","typ","type","556529797490812"
"white_pumpkin","white","pumpkin","atyp","other","48432314712788"
"red_strawberry","red","strawberry","typ","other","896734555152636"
"orange_lettuce","orange","lettuce","atyp","other","896734555152636"
"red_corn","red","corn","atyp","other","896734555152636"
"white_pumpkin","white","pumpkin","atyp","other","896734555152636"
"green_swan","green","swan","atyp","other","436979026721126"
"orange_lettuce","orange","lettuce","atyp","other","436979026721126"
"orange_lettuce","orange","lettuce","atyp","other","889418465381468"
"green_swan","green","swan","atyp","other","922460878577885"
"white_pumpkin","white","pumpkin","atyp","other","227382334165375"
"yellow_egg","yellow","egg","atyp","other","227382334165375"
"green_lettuce","green","lettuce","typ","other","227382334165375"
"green_swan","green","swan","atyp","other","227382334165375"
"orange_lettuce","orange","lettuce","atyp","other","929513076215108"
"red_corn","red","corn","atyp","other","376820064567768"
"white_swan","white","swan","typ","other","376820064567768"
"orange_lettuce","orange","lettuce","atyp","other","10227718686282"
"white_tomato","white","tomato","atyp","other","858682739763501"
"white_swan","white","swan","typ","other","858682739763501"
"white_pumpkin","white","pumpkin","atyp","other","858682739763501"
"green_lettuce","green","lettuce","typ","other","144755363139591"
"green_swan","green","swan","atyp","other","144755363139591"
"white_swan","white","swan","typ","other","980628246457904"
"orange_lettuce","orange","lettuce","atyp","other","614825603610444"
"white_swan","white","swan","typ","other","614825603610444"
"red_broccoli","red","broccoli","atyp","other","198159540716180"
"orange_lettuce","orange","lettuce","atyp","other","222507984378961"
"white_tomato","white","tomato","atyp","other","621792455516358"
"green_lettuce","green","lettuce","typ","other","621792455516358"
"white_swan","white","swan","typ","other","621792455516358"
"orange_pumpkin","orange","pumpkin","typ","other","621792455516358"
"yellow_snowman","yellow","snowman","atyp","other","621792455516358"
"green_broccoli","green","broccoli","typ","other","621792455516358"
"white_swan","white","swan","typ","other","372060040969729"
"white_tomato","white","tomato","atyp","other","372060040969729"
"orange_lettuce","orange","lettuce","atyp","other","372060040969729"
"orange_lettuce","orange","lettuce","atyp","other","112427083610561"
"orange_lettuce","orange","lettuce","atyp","other","257422642872716"
"green_swan","green","swan","atyp","other","257422642872716"
"orange_carrot","orange","carrot","typ","other","257422642872716"
"red_broccoli","red","broccoli","atyp","other","481239336121910"
"orange_lettuce","orange","lettuce","atyp","other","389416555676672"
"red_strawberry","red","strawberry","typ","other","388224610845133"
"green_broccoli","green","broccoli","typ","other","388224610845133"
"green_swan","green","swan","atyp","other","388224610845133"
"green_lettuce","green","lettuce","typ","other","388224610845133"
"green_carrot","green","carrot","atyp","other","556315437936088"
"orange_lettuce","orange","lettuce","atyp","other","557045254487168"
"yellow_egg","yellow","egg","atyp","other","445710352892637"
"white_tomato","white","tomato","atyp","other","445710352892637"
"yellow_corn","yellow","corn","typ","other","490495854604812"
"white_tomato","white","tomato","atyp","other","490495854604812"
"white_swan","white","swan","typ","other","813985193149631"
"orange_lettuce","orange","lettuce","atyp","other","813985193149631"
"orange_lettuce","orange","lettuce","atyp","other","599056330758851"
